id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,8494.7,1.0,7697020000.0,143191122918,16856525.0,16856525.0,21000000.0,-1.38,0.65,-7.33,1518279268
ethereum,Ethereum,ETH,2,855.312,0.101091,2994630000.0,83419227926.0,97530758.0,97530758.0,,-1.62,0.36,-11.14,1518279252
ripple,Ripple,XRP,3,1.06771,0.0001262,4393010000.0,41650529842.0,39009215838.0,99992725510.0,100000000000,-2.31,16.69,16.0,1518279273
bitcoin-cash,Bitcoin Cash,BCH,4,1243.21,0.146937,729132000.0,21085090242.0,16960200.0,16960200.0,21000000.0,-1.83,-3.69,-0.22,1518279252
cardano,Cardano,ADA,5,0.398835,0.00004714,976621000.0,10340623178.0,25927070538.0,31112483745.0,45000000000.0,-0.98,5.64,-6.5,1518279255
litecoin,Litecoin,LTC,6,154.747,0.0182898,603592000.0,8535238400.0,55156083.0,55156083.0,84000000.0,-3.14,1.05,5.11,1518279241
stellar,Stellar,XLM,7,0.399952,0.00004727,234029000.0,7371998990.0,18432209341.0,103669352049,,-1.69,2.46,-6.65,1518279243
neo,NEO,NEO,8,109.15,0.0129006,356827000.0,7094750000.0,65000000.0,100000000.0,,-2.52,-4.57,-11.06,1518279247
eos,EOS,EOS,9,8.94204,0.00105688,642900000.0,5898903630.0,659682089.0,900000000.0,1000000000.0,-2.19,-1.88,-9.5,1518279252
iota,IOTA,MIOTA,10,1.8615,0.00022001,71411400.0,5174095622.0,2779530283.0,2779530283.0,2779530283.0,-2.5,-1.18,-4.17,1518279251
nem,NEM,XEM,11,0.567312,0.00006705,79372800.0,5105807999.0,8999999999.0,8999999999.0,,-1.99,1.0,-7.99,1518279244
dash,Dash,DASH,12,626.575,0.0740559,108252000.0,4934957853.0,7876085.0,7876085.0,18900000.0,-1.55,2.06,0.09,1518279241
monero,Monero,XMR,13,249.77,0.0295207,83577600.0,3922819401.0,15705727.0,15705727.0,,-1.6,0.82,0.78,1518279242
lisk,Lisk,LSK,14,27.1146,0.00320472,105967000.0,3197443110.0,117923300.0,117923300.0,,-2.0,5.54,18.68,1518279246
tron,TRON,TRX,15,0.0473567,0.00000560,471412000.0,3113617427.0,65748192475.0,100000000000,,-3.03,13.75,7.63,1518279254
ethereum-classic,Ethereum Classic,ETC,16,24.29,0.00287088,279403000.0,2423112736.0,99757626.0,99757626.0,,-1.41,-2.69,1.61,1518279247
tether,Tether,USDT,17,1.01121,0.00011952,2458530000.0,2241994962.0,2217140814.0,2280109970.0,,0.36,-1.97,1.08,1518279245
bitcoin-gold,Bitcoin Gold,BTG,18,132.967,0.0157156,83031300.0,2235989505.0,16816124.0,16916124.0,21000000.0,-4.08,-12.56,18.34,1518279256
qtum,Qtum,QTUM,19,29.8677,0.00353012,438199000.0,2206378610.0,73871728.0,100371728.0,,-0.97,1.07,0.29,1518279251
vechain,VeChain,VEN,20,4.46043,0.00052719,42269700.0,2097322700.0,470206393.0,873378637.0,,-2.22,1.44,-20.2,1518279253
