id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,11376.8,1.0,10221300000.0,192006253600,16877000.0,16877000.0,21000000.0,0.82,-1.02,30.19,1519178370
ethereum,Ethereum,ETH,2,911.175,0.0812099,2697290000.0,89061243632.0,97743291.0,97743291.0,,2.2,-4.25,6.54,1519178351
ripple,Ripple,XRP,3,1.09093,0.00009723,893544000.0,42556323834.0,39009215838.0,99992725510.0,100000000000,2.0,-4.87,4.56,1519178341
bitcoin-cash,Bitcoin Cash,BCH,4,1421.83,0.126723,797861000.0,24140896113.0,16978750.0,16978750.0,21000000.0,2.47,-8.08,12.87,1519178353
litecoin,Litecoin,LTC,5,232.084,0.0206849,1888780000.0,12836225608.0,55308533.0,55308533.0,84000000.0,1.4,3.67,36.02,1519178341
cardano,Cardano,ADA,6,0.374489,0.00003338,295784000.0,9709402719.0,25927070538.0,31112483745.0,45000000000.0,0.97,-3.86,-0.4,1519178355
neo,NEO,NEO,7,129.421,0.0115348,245542000.0,8412365000.0,65000000.0,100000000.0,,2.51,-7.65,14.91,1519178347
stellar,Stellar,XLM,8,0.410067,0.00003655,112048000.0,7573030229.0,18467787530.0,103708899665,,3.72,-8.28,-1.12,1519178344
eos,EOS,EOS,9,9.2831,0.00082737,299912000.0,6323228628.0,681154854.0,900000000.0,1000000000.0,0.99,-5.84,0.3,1519178353
dash,Dash,DASH,10,705.24,0.0628556,139710000.0,5568982448.0,7896578.0,7896578.0,18900000.0,1.31,-3.5,15.09,1519178346
iota,IOTA,MIOTA,11,1.88509,0.00016801,52991900.0,5239664741.0,2779530283.0,2779530283.0,2779530283.0,0.85,-10.05,2.64,1519178351
monero,Monero,XMR,12,300.996,0.0268267,73913700.0,4739138463.0,15744855.0,15744855.0,,1.62,-5.52,25.24,1519178343
nem,NEM,XEM,13,0.466965,0.00004162,65945400.0,4202685000.0,8999999999.0,8999999999.0,,0.68,-10.18,-13.17,1519178345
ethereum-classic,Ethereum Classic,ETC,14,39.7277,0.00354079,1134300000.0,3972984172.0,100005391.0,100005391.0,,2.45,-7.38,13.2,1519178348
tron,TRON,TRX,15,0.047189,0.00000421,201725000.0,3102591455.0,65748192475.0,100000000000,,2.77,-8.76,8.21,1519178354
vechain,VeChain,VEN,16,6.43181,0.00057325,159416000.0,3051092175.0,474375359.0,873378637.0,,4.06,-3.89,51.29,1519178353
lisk,Lisk,LSK,17,25.8329,0.0023024,243433000.0,2635555436.0,102023212.0,118240260.0,,1.79,-12.19,-4.14,1519178347
qtum,Qtum,QTUM,18,30.7255,0.00273845,194913000.0,2270511458.0,73896648.0,100396648.0,,0.45,-6.92,-0.88,1519178351
bitcoin-gold,Bitcoin Gold,BTG,19,133.816,0.0119265,46461400.0,2253086566.0,16837199.0,16937199.0,21000000.0,1.58,-4.52,7.81,1519178356
tether,Tether,USDT,20,1.00427,0.00008951,3338110000.0,2226608005.0,2217140814.0,2280109970.0,,0.94,0.47,0.33,1519178344
omisego,OmiseGO,OMG,21,18.8764,0.00168239,124167000.0,1926196024.0,102042552.0,140245398.0,,-0.73,2.96,39.2,1519178353
icon,ICON,ICX,22,4.28378,0.0003818,57065300.0,1655434713.0,386442514.0,400230000.0,,4.16,-10.2,7.26,1519178356
zcash,Zcash,ZEC,23,437.164,0.0389629,94658100.0,1453053900.0,3323819.0,3323819.0,,1.29,-8.19,-4.2,1519178348
verge,Verge,XVG,24,0.0731291,0.00000652,64045100.0,1069183810.0,14620497307.0,14620497307.0,16555000000.0,4.23,-10.49,35.48,1519178344
steem,Steem,STEEM,25,4.11381,0.00036665,18127400.0,1027066004.0,249662965.0,266637059.0,,2.2,-7.35,-1.98,1519178346
bytecoin-bcn,Bytecoin,BCN,26,0.00551705,0.00000049,6650340.0,1013702786.0,183740003354,183740003354,184470000000,1.34,-8.88,18.25,1519178343
